timestamp,origin,destination,duration_seconds,distance_meters,traffic_condition,day_of_week,hour_of_day
2025-05-16 07:00:00,Hai Ba Trung - Nguyen Thi Minh Khai,Pham Ngoc Thach - Nguyen Thi Minh Khai,124,434,normal,4,7
2025-05-16 07:00:00,Hai Ba Trung - Nguyen Thi Minh Khai,Pasteur - Nguyen Thi Minh Khai,171,649,normal,4,7
2025-05-16 07:00:00,Hai Ba Trung - Nguyen Thi Minh Khai,Nam Ky Khoi Nghia - Nguyen Thi Minh Khai,250,867,normal,4,7
2025-05-16 07:00:00,Hai Ba Trung - Nguyen Thi Minh Khai,Nam Ky Khoi Nghia - Vo Van Tan,186,715,normal,4,7
2025-05-16 07:00:00,Hai Ba Trung - Nguyen Thi Minh Khai,Pasteur - Vo Van Tan,147,572,normal,4,7
2025-05-16 07:00:00,Hai Ba Trung - Nguyen Thi Minh Khai,Ho Con Rua,95,329,normal,4,7
2025-05-16 07:00:00,Hai Ba Trung - Nguyen Thi Minh Khai,Hai Ba Trung - Tran Cao Van,48,155,normal,4,7
2025-05-16 07:00:00,Hai Ba Trung - Nguyen Thi Minh Khai,Hai Ba Trung - Nguyen Dinh Chieu,95,309,normal,4,7
2025-05-16 07:00:00,Hai Ba Trung - Nguyen Thi Minh Khai,Pham Ngoc Thach - Nguyen Dinh Chieu,133,465,normal,4,7
2025-05-16 07:00:00,Hai Ba Trung - Nguyen Thi Minh Khai,Pasteur - Nguyen Dinh Chieu,180,637,normal,4,7
2025-05-16 07:00:00,Hai Ba Trung - Nguyen Thi Minh Khai,Nam Ky Khoi Nghia - Nguyen Dinh Chieu,221,782,normal,4,7
2025-05-16 07:00:00,Hai Ba Trung - Nguyen Thi Minh Khai,Nam Ky Khoi Nghia - Dien Bien Phu,420,1542,normal,4,7
2025-05-16 07:00:00,Hai Ba Trung - Nguyen Thi Minh Khai,Pasteur - Dien Bien Phu,256,970,normal,4,7
2025-05-16 07:00:00,Hai Ba Trung - Nguyen Thi Minh Khai,Pham Ngoc Thach - Dien Bien Phu,226,781,normal,4,7
2025-05-16 07:00:00,Hai Ba Trung - Nguyen Thi Minh Khai,Hai Ba Trung - Dien Bien Phu,177,626,normal,4,7
2025-05-16 07:00:00,Pham Ngoc Thach - Nguyen Thi Minh Khai,Hai Ba Trung - Nguyen Thi Minh Khai,52,183,normal,4,7
2025-05-16 07:00:00,Pham Ngoc Thach - Nguyen Thi Minh Khai,Pasteur - Nguyen Thi Minh Khai,103,464,normal,4,7
2025-05-16 07:00:00,Pham Ngoc Thach - Nguyen Thi Minh Khai,Nam Ky Khoi Nghia - Nguyen Thi Minh Khai,203,745,normal,4,7
2025-05-16 07:00:00,Pham Ngoc Thach - Nguyen Thi Minh Khai,Nam Ky Khoi Nghia - Vo Van Tan,139,593,normal,4,7
2025-05-16 07:00:00,Pham Ngoc Thach - Nguyen Thi Minh Khai,Pasteur - Vo Van Tan,99,451,normal,4,7
2025-05-16 07:00:00,Pham Ngoc Thach - Nguyen Thi Minh Khai,Ho Con Rua,48,207,normal,4,7
2025-05-16 07:00:00,Pham Ngoc Thach - Nguyen Thi Minh Khai,Hai Ba Trung - Tran Cao Van,106,338,normal,4,7
2025-05-16 07:00:00,Pham Ngoc Thach - Nguyen Thi Minh Khai,Hai Ba Trung - Nguyen Dinh Chieu,153,492,normal,4,7
2025-05-16 07:00:00,Pham Ngoc Thach - Nguyen Thi Minh Khai,Pham Ngoc Thach - Nguyen Dinh Chieu,85,344,normal,4,7
2025-05-16 07:00:00,Pham Ngoc Thach - Nguyen Thi Minh Khai,Pasteur - Nguyen Dinh Chieu,132,516,normal,4,7
2025-05-16 07:00:00,Pham Ngoc Thach - Nguyen Thi Minh Khai,Nam Ky Khoi Nghia - Nguyen Dinh Chieu,173,661,normal,4,7
2025-05-16 07:00:00,Pham Ngoc Thach - Nguyen Thi Minh Khai,Nam Ky Khoi Nghia - Dien Bien Phu,373,1421,normal,4,7
